Date,Entropy_1,Entropy_2,Entropy_3,Entropy_4,Entropy_5,Entropy_6,Entropy_7,Entropy_8,Entropy_9,Entropy_10,Entropy_11,Entropy_12,Entropy_13,Entropy_14,Entropy_15,Entropy_16,Entropy_17,Entropy_18,Entropy_19,Entropy_20,Entropy_21,Entropy_22,Entropy_23,Entropy_24,Entropy_25,Entropy_26,Entropy_27,Entropy_28,Entropy_29,Entropy_30,Entropy_31,Entropy_32,Entropy_33,Entropy_34,Entropy_35,Entropy_36,Country
"Nov,20",1.20922216,0.938819845,0.84397007,0.908468006,0.987655218,0.750855498,1.120959587,0.802346473,0.885224912,1.157928866,1.214444104,0.863772698,0.942958979,0.955511445,1.120234753,0.72688532,0.945202075,0.791587253,1.025281016,1.252762968,0.550046337,1.151816325,1.244643844,1.03563749,0.797981242,0.948672141,0.838957528,0.766890655,0.943689706,1.033472986,0.748206958,1.273706142,1.066351426,1.299282984,0.785670549,0.782198958,India
"Dec,20",0.911671786,0.701942312,0.790969474,0.904347549,0.898108413,0.824668522,0.963941035,0.696750788,0.722240142,0.757330525,1.047897196,0.677398824,0.975299285,0.738240483,0.78845736,0.657807814,0.84729786,0.878414248,0.824322243,1.034631959,0.597682668,1.138054021,0.957341272,0.885740288,0.646945636,0.707382296,0.811833151,0.694931302,0.937460413,0.808259988,0.549024712,0.843674668,0.962810748,1.022488593,0.778542265,0.625324584,India
"Jan,21",1.241420692,0.954792279,1.164655701,0.866323405,1.267688619,0.744067271,1.055127177,0.912647741,1.054160526,0.853332882,1.176680662,0.964609309,0.989809429,0.741215584,1.241713132,0.907401784,1.352135442,1.054649165,0.876212508,1.268511325,0.762644975,1.280933845,1.090919943,1.106245914,0.787788688,1.110040984,0.93910541,0.810930216,0.945000838,1.019148117,0.679353858,0.826678573,1.15267951,1.239339948,1.060871961,0.791947765,India
"Feb,21",0.821357839,0.026447823,0.994373478,0.789310603,0.572342342,0.151581085,0.194527462,0.222246288,0.917446134,0.540177836,0.590114955,0.779954288,0.960162616,0.184093036,0.600056757,0.148071634,0.129444357,0.62346726,0.144808786,0.512765489,0.500973327,0.839409688,1.117615236,0.231497084,0.167991731,0.887303195,0.207639365,0.749807214,0.26539376,0.304611135,0.338325805,0.818916568,0.034858301,1.14003112,0.028031514,0.346338935,India
"Mar,21",0.326243449,0.02595224,0.257438146,0.226910034,0.799915156,0.11471398,0.173395366,0.045256592,0.423592493,0.670628317,0.149117496,0.187045231,0.726464449,0.066261584,0.382072229,0.035975102,0.136418913,0.678884734,0.554234609,0.297251523,0.584420367,0.098377944,0.445848822,0.072522476,0.065199996,0.496508749,0.16805911,0.348306694,0.333233213,0.207995224,0.120744651,0.692109298,0.003484324,0.34663824,0.015915455,0.05143466,India
"Apr,21",0.030800824,0.007857679,0.023497322,0.023032746,0.202916226,0.013035566,0.008782123,0.005994945,0.050479354,0.285008274,0.00925076,0.018718375,0.313180649,0.00972455,0.040491361,0.006460567,0.009711059,0.176456437,0.053755743,0.021546501,0.118856573,0.008321823,0.023950429,0.007850421,0.008778065,0.023475256,0.017261917,0.025413132,0.020117638,0.016799275,0.011157717,0.159880892,0.005058645,0.022504466,0.005527421,0.007850421,India
"May,21",0.563210759,0.509243345,0.737380436,0.644917397,0.59143797,0.457469893,0.803495238,0.580160317,0.41361891,0.574326262,0.70849275,0.420450979,0.649766885,0.751613639,0.714449761,0.563210759,0.611037774,0.664843404,0.574326262,0.736246373,0.499696733,0.634878272,0.61802655,0.688373902,0.531780989,0.97418471,0.759105148,0.549734859,0.693147181,0.492676305,0.507847215,0.848137844,0.668932922,0.978166136,0.781700578,0.735706795,India
"Jun,21",0.769687258,0.976915354,1.020360092,1.063520969,1.651402112,0.819027426,1.635755221,0.916290732,0.884202417,1.303406701,0.88238918,0.965080896,0.693147181,0.79728744,1.348073148,1.027153325,1.776491997,1.47590652,0.88238918,1.110882381,1.072636802,1.211940974,0.884202417,1.466337069,1.335001067,1.098612289,0.928713252,0.703299552,0.921681581,0.984201937,0.957839735,0.976915354,1.145132304,1.419084184,1.232143681,1.15267951,India
"Feb,20",1.098612289,1.098612289,1.098612289,1.098612289,1.098612289,1.098612289,1.098612289,1.098612289,1.098612289,1.098612289,1.098612289,1.098612289,1.098612289,1.098612289,1.098612289,1.098612289,1.098612289,1.098612289,1.098612289,1.098612289,1.098612289,1.098612289,1.098612289,1.098612289,1.098612289,1.098612289,1.098612289,666,1.098612289,1.098612289,666,1.098612289,666,1.098612289,1.098612289,1.098612289,Brazil
"Mar,20",0.148180513,0.151106537,0.171471541,0.15415068,0.123613956,0.14403937,0.173769275,0.153122402,0.15415068,0.165392495,0.156249316,0.153164973,0.14403937,0.169899037,0.146930432,0.161423439,0.142174489,0.171471541,0.162518929,0.125163143,0.107358518,0.177334015,0.16034265,0.184824687,0.155192889,0.174941449,0.159276268,0.111917916,0.109433841,0.172612743,0.162518929,0.168749479,0.15415068,0.148180513,0.156249316,0.10406936,Brazil
"Apr,20",0.350087639,0.328115642,0.335084311,0.294508038,0.263749306,0.271097944,0.332240919,0.344417385,0.204794413,0.320167528,0.293425914,0.275160566,0.337906957,0.292322452,0.34214199,0.287682072,0.27407642,0.300275255,0.193458259,0.270645885,0.201778729,0.300450673,0.275653497,0.267479365,0.306115774,0.293425914,0.30538165,0.304660409,0.306115774,0.339283201,0.298044859,0.333707895,0.177771663,0.317147964,0.312133168,0.266920081,Brazil
"May,20",0.405465108,0.492476485,0.507594603,0.530628251,0.541597282,0.59167772,0.47957308,0.405465108,0.353139289,0.458746475,0.41907076,0.396654478,0.326091521,0.313215374,0.530628251,0.514098949,0.496436886,0.533517035,0.307154176,0.530628251,0.341749294,0.513945751,0.545694449,0.440867035,0.507743957,0.401126707,0.566395475,0.3801473,0.530628251,0.405465108,0.435318071,0.449267731,0.29657102,0.497838428,0.554677506,0.458746475,Brazil
"Jun,20",0.510825624,0.427444015,0.427444015,0.4772588,0.376809852,0.414275738,0.439951284,0.402612039,0.316337328,0.52067792,0.282348726,0.405465108,0.472475818,0.351703931,0.500130335,0.387446603,0.390605994,0.480053965,0.287682072,0.494696242,0.278713402,0.487014975,0.452867347,0.452811229,0.424883194,0.399701403,0.427037593,0.365799852,0.411507423,0.444685821,0.396731428,0.461125955,0.315695109,0.405465108,0.408410618,0.405465108,Brazil
"Jul,20",0.47778577,0.40920343,0.451985124,0.46563363,0.484602429,0.46563363,0.513261679,0.392307024,0.296492702,0.476924072,0.336472237,0.484602429,0.27407642,0.47445798,0.555946059,0.43343896,0.478999192,0.508322494,0.281081388,0.518205731,0.344451002,0.55770921,0.520534438,0.416160397,0.489918939,0.374693449,0.483629881,0.426518517,0.405465108,0.484602429,0.457833094,0.434664263,0.294239473,0.506108634,0.420502985,0.54910781,Brazil
"Aug,20",0.675447603,1.079380927,0.831983625,0.955511445,0.731613461,1.043042438,1.098612289,1.036091932,0.519875459,0.873528873,0.593063722,1.14646831,0.831983625,0.68348527,1.247824687,0.762140052,0.920931111,0.891598119,0.648296614,0.99119204,0.586049045,1.289130613,1.033472986,1.049822124,0.902238978,0.774825212,1.034073768,1.138221427,0.896088025,0.965080896,0.916290732,1.178654996,0.554996842,1.068759326,0.863772698,1.213923135,Brazil
"Sep,20",0.561570823,0.737598943,0.79668786,0.610080582,0.880888805,0.835567521,0.763351439,0.84729786,0.559615788,0.717439873,0.476082675,0.727048732,0.526698973,0.630626824,0.884685392,0.736072225,0.802346473,0.63503955,0.489164127,0.806806499,0.563689113,0.724895879,0.678109303,0.557601689,0.717839793,0.925340567,0.870353637,0.830348302,0.773189888,0.907922482,0.55770921,0.764606145,0.734646911,0.986908299,0.924948795,0.740104164,Brazil
"Oct,20",0.701179352,1.107580959,1.058120927,0.920364057,0.838858992,0.677398824,1.368902618,0.6257059,0.742744122,1.275542997,0.646627165,0.889520491,0.920931111,0.85566611,1.047318994,0.762140052,0.793230639,0.794929875,0.651300071,1.192138347,0.651989108,0.928461267,0.937344141,1.132228899,0.944461609,0.980829253,1.395863812,0.943198185,1.192138347,0.607491736,0.953873443,1.063826173,0.825498632,1.070441412,1.14646831,0.762140052,Brazil
